id,listing_url,name,description,view,neighborhood_overview,picture_url,latitude,longitude,property_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,location
776070,https://www.airbnb.com/rooms/776070,Kero-kero house room 1,"We have been in airbnb since 2011 and it has given us many new opportunity to meet and learn everyday. <br />It is a private room with a toilet just beside the room. <br /><br />This is a house that owned by us Kotaro, Kei and Miya<br />It is 3 story house. 2 Toilets 1 Shower/bathroom.<br />Vending machine in front our house manage by us. <br /><br />We have now in airbnb experience. <br />If you are interested in making bento and gyoza please let us know so we can send you the link for booking. <br /><br /><br /><br />Thank you very much.","Kero-kero house room 1We have been in airbnb since 2011 and it has given us many new opportunity to meet and learn everyday. <br />It is a private room with a toilet just beside the room. <br /><br />This is a house that owned by us Kotaro, Kei and Miya<br />It is 3 story house. 2 Toilets 1 Shower/bathroom.<br />Vending machine in front our house manage by us. <br /><br />We have now in airbnb experience. <br />If you are interested in making bento and gyoza please let us know so we can send you the link for booking. <br /><br /><br /><br />Thank you very much.",We love Nishinippori because is nearer to Tokyo which we are fond of parks and more comfortable space.,https://a0.muscache.com/pictures/efd9f039-dbd2-4996-9467-7742a0c0813b.jpg,35.73844,139.76917,Private room in home,1,1,1 shared bath,1,1,"[""Hangers"", ""Heating"", ""Bed linens"", ""Shampoo"", ""First aid kit"", ""Smoke alarm"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Air conditioning"", ""Iron"", ""Cleaning products"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""TV with standard cable"", ""Piano"", ""Breakfast"", ""Refrigerator"", ""Hot water"", ""Private entrance"", ""Dishes and silverware"", ""Microwave""]",9474,264,15,1,4.98,4.97,4.92,4.98,4.98,4.84,4.92,f,1.79,Tokyo
905944,https://www.airbnb.com/rooms/905944,4F Spacious Apartment in Shinjuku / Shibuya Tokyo,"NEWLY RENOVATED property entirely for you & your travel companions, located in the vibrant neighborhood of Hatagaya, 3 minutes on train or 15 minutes walking to Shinjuku. Easy access to Shibuya / Shinjuku & fits up to 6 guests. The calendar is always up to date. The apartment has 40+ sq mts / 450+ sq ft, 2 bedrooms, 1 living/dining room. Simply put: it's TWICE as big as most apartments in central Tokyo and features ADSL Wifi, 2 HVACs ( 1 per room), washing machine, shower room and a kitchenette.","4F Spacious Apartment in Shinjuku / Shibuya TokyoNEWLY RENOVATED property entirely for you & your travel companions, located in the vibrant neighborhood of Hatagaya, 3 minutes on train or 15 minutes walking to Shinjuku. Easy access to Shibuya / Shinjuku & fits up to 6 guests. The calendar is always up to date. The apartment has 40+ sq mts / 450+ sq ft, 2 bedrooms, 1 living/dining room. Simply put: it's TWICE as big as most apartments in central Tokyo and features ADSL Wifi, 2 HVACs ( 1 per room), washing machine, shower room and a kitchenette.","Hatagaya is a great neighborhood located 4 minutes by train train from Shinjuku (15-20 minutes walking).<br />It is extremely lively by any international standards but not as crowded a Shinjuku.<br />It features dozens of family restaurants, convenience stores and bars open 24X7.",https://a0.muscache.com/pictures/miso/Hosting-905944/original/30dc6aa5-faea-4d4f-b365-5bf3b8066407.jpeg,35.67878,139.67847,Entire rental unit,6,1.5,1.5 baths,2,4,"[""Paid parking off premises"", ""Coffee maker"", ""Hangers"", ""Exterior or entryway security camera present"", ""Bed linens"", ""Self check-in"", ""Carbon monoxide alarm"", ""Shampoo"", ""First aid kit"", ""Fire extinguisher"", ""Long term stays allowed"", ""City skyline view"", ""Room-darkening shades"", ""Smoke alarm"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Dining table"", ""Laundromat nearby"", ""Extra pillows and blankets"", ""Lockbox"", ""Radiant heating"", ""Ethernet connection"", ""Clothing storage: closet"", ""Japan available brand conditioner"", ""Japanese local brand body soap"", ""Drying rack for clothing"", ""Refrigerator"", ""Hot water"", ""Cooking basics"", ""TV"", ""Toaster"", ""Kitchen"", ""AC - split type ductless system"", ""Rinnai stainless steel gas stove"", ""Babysitter recommendations"", ""Portable fans"", ""Private patio or balcony"", ""Dishes and silverware"", ""Microwave""]",39363,242,42,2,4.8,4.81,4.79,4.87,4.91,4.78,4.78,t,1.69,Tokyo
1016831,https://www.airbnb.com/rooms/1016831,5 mins Shibuya Cat modern sunny  Shimokita,"Hi there, I am Wakana and I live with my two friendly cats.<br />I designed and built a house 11 years ago.<br /> I am a business freelancer and one of my business is a real estate agent, so if you are looking for properties in Japan, I can be of a help!<br /><br />My house is located near Ikenoue station, 5 minutes from Shibuya by Inokashira line. 12 mins walk to Shimokitazawa, hipster neighborhood.<br /><br />If you have time, it would be nice to have a chat or go out for a drink.","5 mins Shibuya Cat modern sunny  ShimokitaHi there, I am Wakana and I live with my two friendly cats.<br />I designed and built a house 11 years ago.<br /> I am a business freelancer and one of my business is a real estate agent, so if you are looking for properties in Japan, I can be of a help!<br /><br />My house is located near Ikenoue station, 5 minutes from Shibuya by Inokashira line. 12 mins walk to Shimokitazawa, hipster neighborhood.<br /><br />If you have time, it would be nice to have a chat or go out for a drink.","The location is walkable distance to famous Shimokitazawa, known to be a posh residential area without any high rise buildings. In just 10 minutes you can be at the heart of the trendy, funky, and bohemian Shimokitazawa that has a smorgasbord of affordable yet mouth-wateringly good restaurants and vintage clothes shops. The house is well situated in between train stations: 5 minutes walk to Ikenoue station on Inokashira line, 3rd stop from Shibuya station. 8 minutes walk to Shimokitazawa station on Odakyu line, 10 minutes from Shimokitazawa to Shinjuku by train. All very convenient!  <br /><br />I am happy to share the map for the near-by restaurant (breakfast, lunch and dinner) once the booking is done!",https://a0.muscache.com/pictures/airflow/Hosting-1016831/original/a9db6fec-9d5b-4764-ad3f-c13695c9a041.jpg,35.658,139.67134,Private room in home,2,1,1 shared bath,1,2,"[""Baking sheet"", ""Portable fans"", ""Coffee maker"", ""Hangers"", ""Heating"", ""Bed linens"", ""Freezer"", ""\u30a4\u30bd\u30c3\u30d7 shampoo"", ""Bathtub"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In unit"", ""Paid parking lot off premises"", ""Bread maker"", ""Shower gel"", ""First aid kit"", ""Fire extinguisher"", ""Long term stays allowed"", ""Clothing storage: walk-in closet"", ""Smoke alarm"", ""Bidet"", ""Essentials"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""\u30a4\u30bd\u30c3\u30d7 body soap"", ""Wine glasses"", ""Shared patio or balcony"", ""Iron"", ""Bikes"", ""Dining table"", ""Cleaning products"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Hot water kettle"", ""Blender"", ""Dedicated workspace"", ""24 inch TV with standard cable"", ""\u30a4\u30bd\u30c3\u30d7 conditioner"", ""Refrigerator"", ""Rice maker"", ""Hot water"", ""Cooking basics"", ""Toaster"", ""Kitchen"", ""AC - split type ductless system"", ""Fast wifi \u2013 52 Mbps"", ""Dishwasher"", ""Stainless steel gas stove"", ""\u30d8\u30eb\u30b7\u30aa oven"", ""Lock on bedroom door"", ""Drying rack for clothing"", ""Host greets you"", ""Dishes and silverware"", ""Microwave""]",26571,271,11,1,4.95,4.94,4.84,4.94,4.98,4.92,4.9,f,1.9,Tokyo
1196177,https://www.airbnb.com/rooms/1196177,Homestay at Host's House -  Senju-Ohashi Station,"Our accommodation offers:  <br /><br />1. **Great Accessibility**  <br />   Just a short walk from Kitasenju Station, with easy access to Ueno, Asakusa, and Narita and Haneda airports. Ideal for sightseeing and business.  <br /><br />2. **Peaceful Environment**  <br />   Located in a quiet residential area, perfect for relaxing while enjoying city conveniences.  <br /><br />3. **Reliable Support**  <br />   Always available to help with any questions or concerns for a worry-free stay.  <br /><br />We aim to make your visit comfortable and memorable.","Homestay at Host's House -  Senju-Ohashi StationOur accommodation offers:  <br /><br />1. **Great Accessibility**  <br />   Just a short walk from Kitasenju Station, with easy access to Ueno, Asakusa, and Narita and Haneda airports. Ideal for sightseeing and business.  <br /><br />2. **Peaceful Environment**  <br />   Located in a quiet residential area, perfect for relaxing while enjoying city conveniences.  <br /><br />3. **Reliable Support**  <br />   Always available to help with any questions or concerns for a worry-free stay.  <br /><br />We aim to make your visit comfortable and memorable.","There are shopping mall near Senjuohashi station.<br />supermarket,restaurants(Mcdonald's,Yoshinoya,Otoya,Chinese,Italian ) are 5min away.<br /><br />Big hub station,Kitasenju is walking distance.15min by foot.<br />From Kitasenju,you can go Ginza,Roppongi,Tsukiji,Tokyo sky tree,even Nikko,Hakone directly.<br /><br /><br />Close to fish market.<br />you can enjoy fresh sashimi.<br /><br />There are many Japanese pubric bath called ' SENTO' near my house.Everybody take a bath all naked. <br />There are some rules to take a bath,so I will teach you how to enjoy SENTO.",https://a0.muscache.com/pictures/72890882/05ecbdaa_original.jpg,35.74363,139.79852,Private room in home,3,1.5,1.5 baths,1,0,"[""Hangers"", ""Heating"", ""Exterior or entryway security camera present"", ""Coffee"", ""Bed linens"", ""Freezer"", ""Self check-in"", ""Carbon monoxide alarm"", ""Bathtub"", ""Private living room"", ""Shampoo"", ""First aid kit"", ""Fire extinguisher"", ""Long term stays allowed"", ""Room-darkening shades"", ""Smoke alarm"", ""Bidet"", ""Essentials"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Children\u2019s dinnerware"", ""Body soap"", ""Iron"", ""Dining table"", ""Cleaning products"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Lockbox"", ""Hot water kettle"", ""Dedicated workspace"", ""Clothing storage: closet"", ""Fast wifi \u2013 172 Mbps"", ""Conditioner"", ""Refrigerator"", ""Hot water"", ""Pets allowed"", ""TV"", ""AC - split type ductless system"", ""Dishwasher"", ""Lock on bedroom door"", ""Host greets you"", ""Dishes and silverware"", ""Microwave""]",10571,135,26,2,4.8,4.89,4.79,4.94,4.92,4.74,4.82,f,0.97,Tokyo
1249571,https://www.airbnb.com/rooms/1249571,Unique stay! New&1min to the subway,,Unique stay! New&1min to the subway,,https://a0.muscache.com/pictures/d37dbd4c-dcb6-4f07-8869-67c0d865367f.jpg,35.65111,139.72165,Entire home,3,1,1 bath,1,1,"[""Hangers"", ""Bed linens"", ""Freezer"", ""Self check-in"", ""Carbon monoxide alarm"", ""Bathtub"", ""Shower gel"", ""Shampoo"", ""First aid kit"", ""Fire extinguisher"", ""Long term stays allowed"", ""Smoke alarm"", ""Bidet"", ""Pocket wifi"", ""Essentials"", ""HDTV with Netflix, standard cable"", ""Portable heater"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Bose sound bar Bluetooth sound system"", ""Wine glasses"", ""Ceiling fan"", ""Body soap"", ""Coffee maker: pour-over coffee"", ""Iron"", ""Dining table"", ""Cleaning products"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Lockbox"", ""Hot water kettle"", ""Dedicated workspace"", ""Clothing storage: closet"", ""Portable air conditioning"", ""Conditioner"", ""Books and reading material"", ""Refrigerator"", ""Rice maker"", ""Hot water"", ""Cooking basics"", ""Kitchen"", ""Outdoor shower"", ""Dishwasher"", ""Fast wifi \u2013 74 Mbps"", ""Induction stove"", ""Private entrance"", ""Dishes and silverware"", ""Microwave""]",50528,142,21,0,4.96,4.96,4.97,4.96,4.91,4.98,4.9,f,1.03,Tokyo
1263000,https://www.airbnb.com/rooms/1263000,SHIBUYA 7 MINS  AMAZING HOSTï¼ˆfor woman onlyï¼‰,"Our house is located  nice area of Tokyo, called JIyugaoka, quite and decent neighborhood. Our big house is shared with my daughter's family but first floor belongs to mine. We have separate kitchen, bathroom etc.<br />Notice: for one woman only .","SHIBUYA 7 MINS  AMAZING HOSTï¼ˆfor woman onlyï¼‰Our house is located  nice area of Tokyo, called JIyugaoka, quite and decent neighborhood. Our big house is shared with my daughter's family but first floor belongs to mine. We have separate kitchen, bathroom etc.<br />Notice: for one woman only .",,https://a0.muscache.com/pictures/21035174/29f658a9_original.jpg,35.60742,139.67616,Private room in home,1,1,1 shared bath,1,2,"[""Host greets you"", ""Hot water"", ""Smoke alarm"", ""Air conditioning"", ""Wifi"", ""Essentials"", ""Heating"", ""Kitchen"", ""Dryer"", ""Washer"", ""Hair dryer"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Shampoo"", ""First aid kit""]",8800,201,13,1,4.79,4.69,4.75,4.84,4.75,4.81,4.69,f,1.44,Tokyo
1268465,https://www.airbnb.com/rooms/1268465,Private APT 8min from JR Ebisu station,"Quiet, Simple, Economy,<br />Cozy and convenience central Tokyo local area.","Private APT 8min from JR Ebisu stationQuiet, Simple, Economy,<br />Cozy and convenience central Tokyo local area.","Lively city, local Restaurant and Bar around JR Ebisu station<br />Ebisu garden place for shopping and eat walk around<br />Shibuya station next stop by JR line<br />Roppongi station two stops by Hibiya line",https://a0.muscache.com/pictures/miso/Hosting-1268465/original/b146136b-5f9d-4ed8-beaa-a618c657c0e1.jpeg,35.63953,139.7097,Entire rental unit,2,0.5,Half-bath,0,1,"[""Hangers"", ""Central air conditioning"", ""Heating"", ""Bed linens"", ""Freezer"", ""Carbon monoxide alarm"", ""Bathtub"", ""Shampoo"", ""Long term stays allowed"", ""Room-darkening shades"", ""Smoke alarm"", ""Wifi"", ""Essentials"", ""Kitchenette"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Body soap"", ""Cleaning products"", ""Lockbox"", ""Hot water kettle"", ""Dedicated workspace"", ""Refrigerator"", ""Hot water"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Self check-in""]",13421,27,15,1,4.74,4.88,4.69,4.81,4.92,4.85,4.65,f,0.2,Tokyo
4926426,https://www.airbnb.com/rooms/4926426,#203  shibya/shinjuku å¹¡ãƒ¶è°·é§…è¿‘  2023/12 ãƒªãƒ‹ãƒ¥ãƒ¼ã‚¢ãƒ«ã‚ªãƒ¼ãƒ—ãƒ³ï¼,"* Interior renovation completed in December 2023!<br /><br />* We have a double size bed in the room with a 1 bedroom kitchen.<br /><br />* High-speed WiFi is available with Nuro light!<br /><br />[Follow Airbnb's 5-step enhanced cleaning process]<br />ã€€Disinfect indoors, furniture, fixtures, and accessories with alcohol.<br />ã€€We disinfect heat with bedding and linens.<br /><br />VegetaHouse Room 203 can accommodate up to 2 people.<br />The building is 2 stories. Room 203 is on the second floor. Please go up the stairs.<br />From Shinjuku, take the Keio New Line for 2 stops and 3 minutes.It is a 5-minute walk from Hatagaya station on the Keio New Line.<br />Convenient for shopping and dining. And it's a convenient place to go anywhere.<br />The owner of the entire apartment is the hostel, so please stay with confidence.<br />Because it is a residential area, the view from the window is a neighboring house.<br />Â· The apartment is located in the 6th street shopping street, so it is ver","#203  shibya/shinjuku å¹¡ãƒ¶è°·é§…è¿‘  2023/12 ãƒªãƒ‹ãƒ¥ãƒ¼ã‚¢ãƒ«ã‚ªãƒ¼ãƒ—ãƒ³ï¼* Interior renovation completed in December 2023!<br /><br />* We have a double size bed in the room with a 1 bedroom kitchen.<br /><br />* High-speed WiFi is available with Nuro light!<br /><br />[Follow Airbnb's 5-step enhanced cleaning process]<br />ã€€Disinfect indoors, furniture, fixtures, and accessories with alcohol.<br />ã€€We disinfect heat with bedding and linens.<br /><br />VegetaHouse Room 203 can accommodate up to 2 people.<br />The building is 2 stories. Room 203 is on the second floor. Please go up the stairs.<br />From Shinjuku, take the Keio New Line for 2 stops and 3 minutes.It is a 5-minute walk from Hatagaya station on the Keio New Line.<br />Convenient for shopping and dining. And it's a convenient place to go anywhere.<br />The owner of the entire apartment is the hostel, so please stay with confidence.<br />Because it is a residential area, the view from the window is a neighboring house.<br />Â· The apartment is located in the 6th street shopping street, so it is ver","Â· There is an apartment in the 6th Street shopping street, so it is convenient for shopping, dining, etc.<br /><br />You can shop at convenience stores, supermarkets, drug stores, etc.<br /><br />Â· There are many restaurants such as ramen shops, taverns, Italian, eel, cake, Chinese food, and Japanese soba noodles.",https://a0.muscache.com/pictures/hosting/Hosting-4926426/original/74cebe47-3c51-498c-bb20-8646e2e9e591.jpeg,35.67933,139.67511,Entire rental unit,2,1,1 bath,1,1,"[""Paid parking off premises"", ""Hangers"", ""Heating"", ""Coffee"", ""Bed linens"", ""Freezer"", ""Self check-in"", ""Carbon monoxide alarm"", ""Shampoo"", ""Stove"", ""Fire extinguisher"", ""Long term stays allowed"", ""Room-darkening shades"", ""Smoke alarm"", ""Bidet"", ""Wifi"", ""Essentials"", ""Pocket wifi"", ""Hair dryer"", ""Indoor fireplace"", ""Air conditioning"", ""Body soap"", ""Iron"", ""Dining table"", ""Cleaning products"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Hot water kettle"", ""Dedicated workspace"", ""Conditioner"", ""Smart lock"", ""Refrigerator"", ""Hot water"", ""Cooking basics"", ""TV"", ""Kitchen"", ""Private entrance"", ""Dishes and silverware"", ""Microwave""]",13000,266,27,2,4.62,4.71,4.8,4.81,4.85,4.63,4.66,f,2.26,Tokyo
5034900,https://www.airbnb.com/rooms/5034900,Sophiearth Apartment in Shinjuku (A3-D1),"It is an one-room apartment with own toilet, shower, TV, refrigerator, microwave oven, .... It has one double sized bed and two single sized beds. The double bed measures 120-140 Cm wide and 200 Cm long. The maximum capacity of this apartment is four. The room has an air conditioner and heater.  New bedding is set for new guests. Weekly new bedding are prepared for a long-term guest.","Sophiearth Apartment in Shinjuku (A3-D1)It is an one-room apartment with own toilet, shower, TV, refrigerator, microwave oven, .... It has one double sized bed and two single sized beds. The double bed measures 120-140 Cm wide and 200 Cm long. The maximum capacity of this apartment is four. The room has an air conditioner and heater.  New bedding is set for new guests. Weekly new bedding are prepared for a long-term guest.","We are located in Shinjuku, the heart of Tokyo, enabling you an easy access to most Tokyo attractions with minimal time, 30 minutes to Asakusa, Imperial Place, Harajuku, ... 1 hour by train to DisneyLand. There are many good restaurants nearby with quality meals at a competitive price. Though being located in a residential area, few minutes walk will lead you to many mouth-watering restaurants,  many convenient shops, and some attractions.  We are also close to Shinjuku Station, with many attractive tourism areas.",https://a0.muscache.com/pictures/ed2ea95d-9535-4e12-9c0a-37418aa1f231.jpg,35.69974,139.70424,Entire rental unit,4,,1 bath,1,,"[""Paid parking off premises"", ""Hangers"", ""Heating"", ""Exterior or entryway security camera present"", ""Bed linens"", ""Self check-in"", ""Bathtub"", ""Shampoo"", ""Stove"", ""Fire extinguisher"", ""Long term stays allowed"", ""Smoke alarm"", ""Wifi"", ""Essentials"", ""Cleaning available during stay"", ""Dryer"", ""Hair dryer"", ""Paid parking on premises"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Backyard"", ""Keypad"", ""Refrigerator"", ""Hot water"", ""Cooking basics"", ""TV"", ""Pets allowed"", ""Kitchen"", ""Washer"", ""Private entrance"", ""Dishes and silverware"", ""Microwave""]",,38,0,0,4.21,4.34,4.24,4.68,4.76,4.76,4.37,t,0.31,Tokyo
5070495,https://www.airbnb.com/rooms/5070495,Private Cozy Apt. 111 in Tokyo,"It takes 5 min walk to Fujimidai Sta.. You can get on SeibIkebukuro Line, Subway Yuurakucho Line and Subway Fukutoshin Line. Ikebukuro 15 min, Ginza, Shinjuku and Shibuya about 30 min without having to transfer.","Private Cozy Apt. 111 in TokyoIt takes 5 min walk to Fujimidai Sta.. You can get on SeibIkebukuro Line, Subway Yuurakucho Line and Subway Fukutoshin Line. Ikebukuro 15 min, Ginza, Shinjuku and Shibuya about 30 min without having to transfer.",5 min walk to Fujimidai Sta. on Seibu Ikebukuro Line. 15 min ride to Ikebukuro.<br />There are lots of shops as well as plenty of places to eat around Fujimidai Sta. and Nakamurabashi Sta..,https://a0.muscache.com/pictures/miso/Hosting-5070495/original/135c9fc4-2ea1-4fb3-9f70-d9f5ae149f60.jpeg,35.73496,139.63132,Entire rental unit,2,1,1 bath,1,1,"[""Hangers"", ""Exterior or entryway security camera present"", ""Bed linens"", ""Paid parking lot off premises"", ""Shampoo"", ""Fire extinguisher"", ""Long term stays allowed"", ""Room-darkening shades"", ""Smoke alarm"", ""Wifi"", ""Free washer \u2013 In building"", ""Essentials"", ""Hair dryer"", ""Mini fridge"", ""Air conditioning"", ""Body soap"", ""Cleaning products"", ""Dedicated workspace"", ""Clothing storage: closet"", ""Conditioner"", ""Hot water"", ""TV"", ""Kitchen"", ""Induction stove"", ""Dishes and silverware"", ""Microwave""]",12520,90,4,1,4.79,4.89,4.82,4.96,4.94,4.79,4.76,f,0.75,Tokyo
