id,listing_url,name,description,view,neighborhood_overview,picture_url,latitude,longitude,property_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,location
40669,https://www.airbnb.com/rooms/40669,Skyyâ€™s Lounge / Cozyaezz so,,Skyyâ€™s Lounge / Cozyaezz so,"The neighborhood is very diverse & friendly shopping/restaurants on Central Avenue absolutely adorable very safe to walk to. The Neighborhood has a beautiful park walking distance â¤ï¸ read a book ride your bike , rollerblade or just simply relax along the resting area â¤ï¸ the park also has a pool / skating rink/ ice hockey very nice, this park is called Pershing Fields NJ",https://a0.muscache.com/pictures/af7e4a45-0118-4e9b-81c2-de396140d1ae.jpg,40.73724,-74.0531,Private room in condo,2,1,1 shared bath,1,1,"[""Crib"", ""Ethernet connection"", ""TV with standard cable"", ""Wifi"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Shampoo"", ""Long term stays allowed"", ""Stove"", ""Heating"", ""Breakfast"", ""High chair"", ""Fire extinguisher"", ""Dishwasher"", ""Hangers"", ""Luggage dropoff allowed"", ""First aid kit"", ""Free street parking"", ""Gym"", ""Iron"", ""Dedicated workspace"", ""Air conditioning"", ""Dishes and silverware"", ""Oven"", ""Carbon monoxide alarm"", ""Dryer"", ""Essentials"", ""Game console"", ""Children\u2019s books and toys"", ""Microwave"", ""Paid parking on premises"", ""Single level home"", ""Coffee maker"", ""Smoke alarm"", ""Indoor fireplace"", ""Changing table"", ""Kitchen"", ""Host greets you"", ""Cooking basics"", ""Pocket wifi""]",150,22,5,0,4.95,4.95,4.95,5,4.86,4.9,4.95,f,0.13,New Jersey
215768,https://www.airbnb.com/rooms/215768,Minutes to Manhattan & Jersey Shore,Walking to distance to Statue of Liberty and Ellis Island with New York City Skyline.<br />Jersey City Medical Center is less than a mile away from this home.,Minutes to Manhattan & Jersey ShoreWalking to distance to Statue of Liberty and Ellis Island with New York City Skyline.<br />Jersey City Medical Center is less than a mile away from this home.,"Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",https://a0.muscache.com/pictures/miso/Hosting-215768/original/788989bf-d003-4ca8-a395-8f89734185d4.jpeg,40.71438,-74.0581,Entire home,4,1,1 bath,1,2,"[""Wifi"", ""Hot water"", ""Dining table"", ""Shared patio or balcony"", ""Free washer \u2013 In building"", ""Refrigerator"", ""Hair dryer"", ""Coffee"", ""Shampoo"", ""Long term stays allowed"", ""Cooking basics"", ""Stove"", ""Outdoor furniture"", ""Heating"", ""Freezer"", ""Blender"", ""Bed linens"", ""Fire extinguisher"", ""Private entrance"", ""Wine glasses"", ""Toaster"", ""Dishwasher"", ""Hangers"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Free street parking"", ""Iron"", ""Dedicated workspace"", ""Air conditioning"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Oven"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Dryer"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Smoke alarm"", ""Kitchen"", ""Host greets you"", ""Backyard"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix""]",194,204,26,2,4.81,4.79,4.9,4.87,4.89,4.37,4.79,f,1.26,New Jersey
254245,https://www.airbnb.com/rooms/254245,Minutes to Manhattan and NJ Shore,Walking distance to Statue of Liberty and Ellis Island with New York City Skyline.<br />Jersey City Medical Center is less than a mile away from this home.,Minutes to Manhattan and NJ ShoreWalking distance to Statue of Liberty and Ellis Island with New York City Skyline.<br />Jersey City Medical Center is less than a mile away from this home.,"Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjU0MjQ1/original/7b0bf2ce-4ac9-4e68-95ef-b47fcc875a9f.jpeg,40.71162,-74.06179,Entire home,3,1,1 bath,1,1,"[""Wifi"", ""Hot water"", ""Dining table"", ""Shared patio or balcony"", ""Conditioner"", ""Refrigerator"", ""Hair dryer"", ""Coffee"", ""Shampoo"", ""Long term stays allowed"", ""Cooking basics"", ""Stove"", ""Free washer \u2013 In unit"", ""Heating"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Blender"", ""Bed linens"", ""Fire extinguisher"", ""Wine glasses"", ""Toaster"", ""Dishwasher"", ""Hangers"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Free street parking"", ""Iron"", ""Dedicated workspace"", ""Air conditioning"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Oven"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Ceiling fan"", ""Extra pillows and blankets"", ""Dryer"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Smoke alarm"", ""Kitchen"", ""Bathtub"", ""Host greets you"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix""]",194,146,17,1,4.76,4.78,4.9,4.91,4.85,4.38,4.74,f,0.92,New Jersey
269266,https://www.airbnb.com/rooms/269266,Modern private 2 bedrooms apt minutes to NYC,"Enjoy that private luxury two bedrooms apartment with exposed brick, custom made barn door and cozy feeling. It comfortably fits five guests and it is perfectly located for those who wants convenient and fast connection to Manhattan with easy access to bus, light rail or Grove street Path train and ferry. From my house you have walking distance to ferry to Statue of Liberty.","Modern private 2 bedrooms apt minutes to NYCEnjoy that private luxury two bedrooms apartment with exposed brick, custom made barn door and cozy feeling. It comfortably fits five guests and it is perfectly located for those who wants convenient and fast connection to Manhattan with easy access to bus, light rail or Grove street Path train and ferry. From my house you have walking distance to ferry to Statue of Liberty.","Our House is located in the Liberty State Park neighborhood and you are invited to enjoy the private large two bedrooms apartment  on second floor .The kitchen is completely new and is fully supplied with dishes and cookware, and has a gas range, stainless steel refrigerator, granite counter top, microwave and dishwasher. Fresh bedding linens and towels are included. <br /><br />There is also free street parking for those with a car.<br /><br />Location is great. Just 25 - 40 minutes by convenient public transportation to Manhattan and just 10 minutes by car. Walking distance to Liberty State Park with beautiful views of Manhattan, there is recreation area, jogging paths, playground, barbecue areas, Science Museum and the ferry to Ellis Island and the Statue of Liberty. <br /><br />There is 10- 15 minutes walk from historic downtown Jersey City with trendy restaurants, bars, and shops. From there you can take the PATH subway to Manhattan (2 stops to the World Trade Center or 4-5 stops ",https://a0.muscache.com/pictures/miso/Hosting-269266/original/b89ae7d4-5939-4db0-b998-3fe8679012d1.jpeg,40.71135,-74.06374,Entire rental unit,5,1,1 bath,2,3,"[""Room-darkening shades"", ""Safe"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Hair dryer"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Stove"", ""Baby safety gates"", ""Heating"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Bed linens"", ""Portable fans"", ""Fire extinguisher"", ""Private entrance"", ""Wine glasses"", ""Toaster"", ""Dishwasher"", ""Hangers"", ""Hot water kettle"", ""First aid kit"", ""Free street parking"", ""Luggage dropoff allowed"", ""Iron"", ""Dedicated workspace"", ""Air conditioning"", ""Dishes and silverware"", ""Oven"", ""Lockbox"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Ceiling fan"", ""Extra pillows and blankets"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Laundromat nearby"", ""Smoke alarm"", ""Kitchen"", ""Bathtub"", ""55 inch HDTV"", ""Cooking basics"", ""Books and reading material"", ""Board games""]",130,464,38,3,4.37,4.64,4.55,4.71,4.66,3.87,4.46,t,2.91,New Jersey
270245,https://www.airbnb.com/rooms/270245,Private room with own bathroom close to NYC,"Just for you small bedroom with private bathroom. This room has twin size bed, work/desk area and closet. You are welcome to use kitchen as much as you like. You get it in great neighborhood , just few minutes walking distance from Liberty State Park, where you have beautiful Manhattan view, ferry to Manhattan and to the Statue of Liberty , Liberty Science Center waterfront walking paths, great marina and fantastic restaurant","Private room with own bathroom close to NYCJust for you small bedroom with private bathroom. This room has twin size bed, work/desk area and closet. You are welcome to use kitchen as much as you like. You get it in great neighborhood , just few minutes walking distance from Liberty State Park, where you have beautiful Manhattan view, ferry to Manhattan and to the Statue of Liberty , Liberty Science Center waterfront walking paths, great marina and fantastic restaurant",,https://a0.muscache.com/pictures/miso/Hosting-270245/original/5a73650d-3e70-401a-a8ff-6a3a73cd7dd5.jpeg,40.7134,-74.06489,Private room in townhouse,1,1,1 private bath,1,1,"[""Safe"", ""Wifi"", ""Hot water"", ""Dining table"", ""Gas stove"", ""Refrigerator"", ""Lock on bedroom door"", ""Hair dryer"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Heating"", ""Mosquito net"", ""Clothing storage: closet"", ""Freezer"", ""Bed linens"", ""Fire extinguisher"", ""Private entrance"", ""Wine glasses"", ""Toaster"", ""Dishwasher"", ""Hangers"", ""Hot water kettle"", ""First aid kit"", ""Free street parking"", ""Luggage dropoff allowed"", ""Iron"", ""Dedicated workspace"", ""Air conditioning"", ""Dishes and silverware"", ""Oven"", ""Lockbox"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Coffee maker: drip coffee maker"", ""Extra pillows and blankets"", ""Essentials"", ""Microwave"", ""Smoke alarm"", ""Kitchen"", ""Cooking basics"", ""Books and reading material""]",62,328,22,2,4.57,4.69,4.72,4.73,4.71,4.01,4.57,t,2.07,New Jersey
271255,https://www.airbnb.com/rooms/271255,Large Room with private bathroom min to Manhattan,"You can enjoy your stay in large bedroom with private new bathroom. This room has queen size bed,  double size sleep sofa and twin size bunk bed, as well as work/desk area and large closet. You are welcome to use kitchen as much as you like. Great neighborhood, just few minutes walking distance from Liberty State Park, where you have beautiful Manhattan view, ferry to Manhattan and to the Statue of Liberty , Liberty Science Center waterfront walking paths, great marina and fantastic restaurant.","Large Room with private bathroom min to ManhattanYou can enjoy your stay in large bedroom with private new bathroom. This room has queen size bed,  double size sleep sofa and twin size bunk bed, as well as work/desk area and large closet. You are welcome to use kitchen as much as you like. Great neighborhood, just few minutes walking distance from Liberty State Park, where you have beautiful Manhattan view, ferry to Manhattan and to the Statue of Liberty , Liberty Science Center waterfront walking paths, great marina and fantastic restaurant.",,https://a0.muscache.com/pictures/miso/Hosting-271255/original/92bd73c2-cb95-42a3-870f-b0e8fdf65b7b.jpeg,40.71161,-74.06327,Private room in townhouse,5,1,1 private bath,1,3,"[""Safe"", ""Wifi"", ""Hot water"", ""Dining table"", ""Gas stove"", ""Refrigerator"", ""Lock on bedroom door"", ""Hair dryer"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Clothing storage: wardrobe and dresser"", ""Heating"", ""Mosquito net"", ""Freezer"", ""Bed linens"", ""Fire extinguisher"", ""Private entrance"", ""Wine glasses"", ""Toaster"", ""Dishwasher"", ""Hangers"", ""Hot water kettle"", ""First aid kit"", ""Free street parking"", ""Luggage dropoff allowed"", ""Iron"", ""Dedicated workspace"", ""Air conditioning"", ""Dishes and silverware"", ""Oven"", ""Lockbox"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Laundromat nearby"", ""Smoke alarm"", ""Kitchen"", ""Cooking basics"", ""Books and reading material"", ""Board games""]",82,390,27,1,4.44,4.59,4.69,4.7,4.62,3.89,4.42,t,2.52,New Jersey
675483,https://www.airbnb.com/rooms/675483,Room & Private Bath~Minutes to NYC!,"Full disclosure - professional photographs make my place look larger and brighter!<br /><br />Downtown Jersey City, two blocks to the PATH train. <br /><br />First floor room w/ queen size bed, private bathroom, and access to the backyard. I live on the 2nd and 3rd floor. <br /><br />Amenities outside the bedroom: small table and chairs, desk and office chair, microwave, toaster oven, mini fridge, electric kettle, utensils, utility sink for washing dishes. No access to upstairs or  full kitchen.","Room & Private Bath~Minutes to NYC!Full disclosure - professional photographs make my place look larger and brighter!<br /><br />Downtown Jersey City, two blocks to the PATH train. <br /><br />First floor room w/ queen size bed, private bathroom, and access to the backyard. I live on the 2nd and 3rd floor. <br /><br />Amenities outside the bedroom: small table and chairs, desk and office chair, microwave, toaster oven, mini fridge, electric kettle, utensils, utility sink for washing dishes. No access to upstairs or  full kitchen.","Downtown Jersey City is right outside of Manhattan, and has great restaurants, bars, and shops all within walking distance. There are parks nearby as well. If you walk 10 minutes to the waterfront you will get spectacular views of Manhattan. A large shopping mall and grocery store are also a couple blocks away.  I have lived here over 15 years and feel very safe. <br /><br />Other local attractions include Hoboken and Liberty State Park which has ferry service to the Statue of Liberty, Ellis Island, and Manhattan.",https://a0.muscache.com/pictures/miso/Hosting-675483/original/0aa2942b-89a1-4571-8f7f-7985a64bc9ed.jpeg,40.72315,-74.04179,Private room in townhouse,2,1,1 private bath,1,1,"[""Private patio or balcony"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Central heating"", ""Hot water"", ""Conditioner"", ""Hair dryer"", ""24 inch TV with Roku, Hulu, Disney+, Amazon Prime Video, Netflix, HBO Max"", ""Lock on bedroom door"", ""Coffee"", ""Shampoo"", ""Self check-in"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Clothing storage: closet"", ""Portable heater"", ""Bed linens"", ""Fire extinguisher"", ""Mini fridge  refrigerator"", ""Smart lock"", ""Toaster"", ""Paid parking off premises"", ""Hangers"", ""Body soap"", ""First aid kit"", ""Hot water kettle"", ""Free street parking"", ""Iron"", ""Dedicated workspace"", ""Fast wifi \u2013 432 Mbps"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Ceiling fan"", ""Extra pillows and blankets"", ""Essentials"", ""Shower gel"", ""Microwave"", ""Mini fridge"", ""Single level home"", ""Outdoor dining area"", ""Window AC unit"", ""Laundromat nearby"", ""Smoke alarm"", ""Kitchen""]",120,419,27,4,4.77,4.85,4.69,4.96,4.93,4.83,4.76,f,2.81,New Jersey
810860,https://www.airbnb.com/rooms/810860,Spacious Studio minutes away from NYC,"Spacious Studio loft apartment on the ground floor. Can accommodate 4 people. Located in Jersey City, only a 7-minutes walk to Journal Square Path Train subway station and 15 to 20 minutes train ride to NYC. 15 minutes drive to Holland Tunnel. 20 minutes drive to Newark airport. Laundry in the building.","Spacious Studio minutes away from NYCSpacious Studio loft apartment on the ground floor. Can accommodate 4 people. Located in Jersey City, only a 7-minutes walk to Journal Square Path Train subway station and 15 to 20 minutes train ride to NYC. 15 minutes drive to Holland Tunnel. 20 minutes drive to Newark airport. Laundry in the building.","The neighborhood is seconds from ""Little India"", which offers low-budget to formal Indian dining, in addition to Filipino, Latin American, and Egyptian cuisine, reflecting the city's wide ethnic population.  Downtown Jersey City is also minutes away and offers a big variety of Bars and Restaurants.<br /><br />Jersey City is just across the Hudson river, and it's closer and better connected to the heart of Manhattan than some boroughs and locations in New York City. It is literally 10 minutes away from Downtown Manhattan by subway (path train) and 15mn away from Greenwich Village and midtown. The Path Train runs all day and all night on a schedule.",https://a0.muscache.com/pictures/miso/Hosting-810860/original/626aa4d7-098f-4292-a5b2-5bdc3be11578.jpeg,40.72617,-74.06481,Entire rental unit,4,1,1 bath,1,2,"[""Room-darkening shades"", ""Keypad"", ""Central heating"", ""Wifi"", ""Hot water"", ""Washer"", ""Conditioner"", ""Refrigerator"", ""Hair dryer"", ""Self check-in"", ""Clothing storage"", ""Freezer"", ""Blender"", ""Bed linens"", ""Wine glasses"", ""Paid dryer \u2013 In building"", ""Body soap"", ""Hangers"", ""Hot water kettle"", ""Free street parking"", ""Iron"", ""Dedicated workspace"", ""Dishes and silverware"", ""Oven"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Essentials"", ""Central air conditioning"", ""Microwave"", ""Coffee maker"", ""Smoke alarm"", ""Pets allowed"", ""Kitchen"", ""Backyard"", ""Cooking basics""]",100,8,2,1,4.88,4.88,4.88,4.75,5,4.63,4.63,f,0.11,New Jersey
818075,https://www.airbnb.com/rooms/818075,Lovely Apartment - Easy access to NYC,"Our guests tell us that they love coming back to the apartment - that it feels like home. We want our guests to know that even though you can see the Empire State Building from the apartment, it still takes about 45 minutes to get into Manhattan.","Lovely Apartment - Easy access to NYCOur guests tell us that they love coming back to the apartment - that it feels like home. We want our guests to know that even though you can see the Empire State Building from the apartment, it still takes about 45 minutes to get into Manhattan.",Our area of Jersey City Heights is quiet and safe and yet just a short bus or train ride to the middle of Manhattan. Guests tell us they enjoy coming back to the quiet of our apartment after a busy day in NYC.,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODE4MDc1/original/9869ae72-25ce-433a-8a91-3c3cdec9146b.jpeg,40.74086,-74.04921,Entire guest suite,3,1,1 bath,2,2,"[""City skyline view"", ""Wifi"", ""Hot water"", ""Conditioner"", ""Refrigerator"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Coffee"", ""Shampoo"", ""Long term stays allowed"", ""Stove"", ""Heating"", ""Clothing storage: closet and dresser"", ""Standalone high chair"", ""Baking sheet"", ""HDTV with HBO Max, Netflix, standard cable"", ""Freezer"", ""Bed linens"", ""Portable fans"", ""Fire extinguisher"", ""Private entrance"", ""Wine glasses"", ""Toaster"", ""Hangers"", ""Body soap"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Iron"", ""Dedicated workspace"", ""Dishes and silverware"", ""Oven"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Ceiling fan"", ""Extra pillows and blankets"", ""Essentials"", ""Children\u2019s books and toys"", ""Shower gel"", ""Microwave"", ""Babysitter recommendations"", ""Window AC unit"", ""Coffee maker"", ""Laundromat nearby"", ""Smoke alarm"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Books and reading material"", ""Board games""]",120,204,30,1,4.95,4.97,4.97,4.99,4.97,4.69,4.93,f,1.41,New Jersey
938292,https://www.airbnb.com/rooms/938292,New apt in downtown JC minutes away from Manhattan,"One-bedroom apartment in the heart of downtown Jersey City. Located very conveniently to commute or travel to Manhattan and to arrive, door to door,  in less than 30 minutes to most of the relevant places in NY, such as Wall Street, Greenwich Village, or Penn Station in Midtown. <br /><br /><br />Enjoy this one bedroom apartment, that accommodates 4 people, and its completely new furniture. It also includes wifi, TV with Netflix, and a large kitchen with all appliances including dishwasher.","New apt in downtown JC minutes away from ManhattanOne-bedroom apartment in the heart of downtown Jersey City. Located very conveniently to commute or travel to Manhattan and to arrive, door to door,  in less than 30 minutes to most of the relevant places in NY, such as Wall Street, Greenwich Village, or Penn Station in Midtown. <br /><br /><br />Enjoy this one bedroom apartment, that accommodates 4 people, and its completely new furniture. It also includes wifi, TV with Netflix, and a large kitchen with all appliances including dishwasher.","The neighborhood is safe and trendy. Itâ€™s a great neighborhood for New York City commuters and travelers as well as for those that want to enjoy a bit more calmness than Manhattan while being minutes away from it.<br /><br />Aside from the proximity to the underground transportation with Manhattan and other parts of New Jersey, you will have in less than 5 minutes walk a large diversity of exciting cafes, restaurants, bars, shops, yoga studios, gyms and a great supermarket (Keyfood). <br /><br />In less than 15 minutes walk you will reach a large shopping mall, a multiplex movie theater, several parks, and the riverside with some of the best views in the New York Metropolitan Area. If you want more shopping, next to the Newport Mall, you can find Shoprite, BJâ€™S Wholesale, Bed Bath & Beyond, The Home Depot and Target.",https://a0.muscache.com/pictures/d291ee79-6a96-459e-be0e-5ccf1f1a700e.jpg,40.72371,-74.04931,Entire rental unit,4,1,1 bath,1,3,"[""TV with standard cable"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Hair dryer"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Stove"", ""Heating"", ""Bed linens"", ""Fire extinguisher"", ""Smart lock"", ""Dishwasher"", ""Hangers"", ""Luggage dropoff allowed"", ""Free street parking"", ""Iron"", ""Dedicated workspace"", ""Air conditioning"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Oven"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Smoke alarm"", ""Kitchen"", ""Cooking basics"", ""Pocket wifi""]",103,21,1,0,4.71,4.76,4.48,4.81,4.95,4.9,4.48,f,0.21,New Jersey
